iter	Accuracy	MultiClass
0	0.3743125	2.80739298
1	0.424625	2.59240148
2	0.502875	2.385086623
3	0.5294375	2.253748368
4	0.5864375	2.111736248
5	0.6189375	1.986329092
6	0.6488125	1.873223517
7	0.671	1.782559262
8	0.68525	1.714405601
9	0.7101875	1.62236479
10	0.720375	1.546047331
11	0.7335625	1.480251674
12	0.7450625	1.422598205
13	0.7499375	1.377693563
14	0.75675	1.33011574
15	0.7648125	1.295947656
16	0.778	1.249291088
17	0.7815625	1.209533129
18	0.79075	1.176683648
19	0.798375	1.133774209
20	0.8003125	1.110189701
21	0.8048125	1.078662262
22	0.8105625	1.049271366
23	0.8140625	1.023413778
24	0.816875	1.000747289
25	0.818125	0.9782954855
26	0.8225	0.9604781213
27	0.826875	0.9386595659
28	0.8325625	0.91929594
29	0.8361875	0.8993020044
30	0.8346875	0.8873587474
31	0.8404375	0.8683548443
32	0.845125	0.8503072471
33	0.8511875	0.8315234156
34	0.85575	0.8144529642
35	0.85875	0.7949270996
36	0.862625	0.7801431898
37	0.865375	0.7641959793
38	0.867	0.7589631424
39	0.869375	0.7479346096
40	0.869	0.7388451258
41	0.871375	0.7283941446
42	0.875375	0.7148514199
43	0.877	0.7039127267
44	0.879125	0.6928326446
45	0.880125	0.6847304815
46	0.8803125	0.6790201251
47	0.881875	0.6707357515
48	0.8853125	0.6587502343
49	0.8855625	0.6518729443
50	0.8865625	0.6480273152
51	0.8879375	0.6396983692
52	0.8884375	0.6339969815
53	0.890375	0.6268716524
54	0.8921875	0.6174231482
55	0.8930625	0.609148473
56	0.894625	0.6031583875
57	0.89675	0.5933127543
58	0.897875	0.586218303
59	0.899125	0.5795610431
60	0.8995625	0.5755328809
61	0.899625	0.570744847
62	0.9005	0.565466506
63	0.9020625	0.5581202368
64	0.9031875	0.5515443878
65	0.904125	0.546093216
66	0.9051875	0.541707703
67	0.90625	0.534642186
68	0.90725	0.5276433187
69	0.90825	0.519437043
70	0.909125	0.5155652404
71	0.91	0.5125793452
72	0.9123125	0.5076409926
73	0.9129375	0.5014549263
74	0.9136875	0.4982633352
75	0.9144375	0.4931367538
76	0.9155	0.4877895914
77	0.9161875	0.4844827728
78	0.9170625	0.4784206503
79	0.91775	0.4731463961
80	0.918625	0.4693791813
81	0.919125	0.4643470481
82	0.919375	0.4617089093
83	0.920375	0.4562163316
84	0.9210625	0.4521458266
85	0.9213125	0.449840105
86	0.922875	0.4453551518
87	0.9236875	0.4419294218
88	0.9241875	0.4385886239
89	0.9245	0.4356274294
90	0.9256875	0.4314653988
91	0.92625	0.4277241215
92	0.9268125	0.4254556908
93	0.92725	0.4228930356
94	0.9273125	0.4198995133
95	0.9276875	0.4154612778
96	0.929	0.4110065957
97	0.9306875	0.4055642748
98	0.930625	0.4027012462
99	0.9314375	0.4003898633
100	0.9315625	0.3972823043
101	0.932875	0.3924703461
102	0.9329375	0.3905464927
103	0.9340625	0.3879087699
104	0.934875	0.3843561881
105	0.93525	0.3808029859
106	0.93625	0.3779572769
107	0.93675	0.3757869364
108	0.9373125	0.3727360755
109	0.9379375	0.3707067445
110	0.93875	0.3692361922
111	0.938625	0.3662913327
112	0.939	0.3648780282
113	0.939	0.3624836231
114	0.93975	0.3594688555
115	0.9404375	0.3562378962
116	0.940875	0.3540838669
117	0.9418125	0.3512599044
118	0.9428125	0.3479981209
119	0.9434375	0.3454531884
120	0.9435	0.3435001676
121	0.9440625	0.3413078817
122	0.9443125	0.3390647084
123	0.9445	0.3380791927
124	0.9443125	0.3353938853
125	0.945125	0.3325026496
126	0.9450625	0.3299692362
127	0.9455	0.3277802543
128	0.9459375	0.3260749009
129	0.946	0.3246351713
130	0.9463125	0.3221492949
131	0.946375	0.3202559483
132	0.947125	0.3192997679
133	0.9475	0.3181813875
134	0.9478125	0.3169281506
135	0.9475	0.3148878356
136	0.94825	0.31197362
137	0.9481875	0.3105632212
138	0.9486875	0.3089857532
139	0.948875	0.3077496196
140	0.949375	0.305525059
141	0.949375	0.3041798202
142	0.95025	0.3014054894
143	0.9504375	0.2998341881
144	0.9505625	0.2977775176
145	0.951125	0.295857681
146	0.951375	0.2937738151
147	0.9515625	0.2925365073
148	0.95175	0.2918411381
149	0.9521875	0.2895025101
150	0.952125	0.2871922651
151	0.952375	0.2861361081
152	0.9526875	0.2847039754
153	0.95325	0.2831164054
154	0.9535	0.2811473013
155	0.954125	0.2798255506
156	0.9543125	0.2788653091
157	0.9548125	0.276588701
158	0.9555625	0.2749379482
159	0.956	0.273595568
160	0.9564375	0.2716564583
161	0.9563125	0.2700562524
162	0.956875	0.2682867475
163	0.9571875	0.2665401573
164	0.957375	0.2639368757
165	0.9573125	0.2630228887
166	0.958375	0.2606998221
167	0.9585	0.2590863089
168	0.9585	0.2582577134
169	0.958625	0.2574115354
170	0.959125	0.2563121615
171	0.9589375	0.2549495101
172	0.959125	0.2544025081
173	0.95925	0.2533625221
174	0.95975	0.2519962137
175	0.9595625	0.2506799038
176	0.9605	0.2491192315
177	0.9609375	0.2477200201
178	0.960875	0.2471512822
179	0.961125	0.2456717598
180	0.9611875	0.2439266108
181	0.9614375	0.2420321952
182	0.962	0.2403036652
183	0.9623125	0.2393002039
184	0.9625	0.2383648112
185	0.963125	0.2367842778
186	0.963625	0.2348283398
187	0.9636875	0.2335917772
188	0.963875	0.2328698213
189	0.9636875	0.2318437437
190	0.964125	0.2308713884
191	0.9646875	0.2290484024
192	0.964875	0.228170097
193	0.965125	0.2271020709
194	0.965125	0.2259013733
195	0.9653125	0.2246004373
196	0.9656875	0.2232447044
197	0.9659375	0.2219595012
198	0.966125	0.2213119694
199	0.966125	0.2203219909
200	0.9665625	0.2193053009
201	0.9665625	0.2175098708
202	0.9668125	0.2168649044
203	0.96675	0.2162146832
204	0.967	0.2154817608
205	0.967125	0.2144416649
206	0.9673125	0.2130794547
207	0.9678125	0.2114864245
208	0.9684375	0.2105593405
209	0.96875	0.2094573585
210	0.9686875	0.208866986
211	0.9688125	0.2076981248
212	0.969375	0.2062724525
213	0.9696875	0.2049385759
214	0.97	0.2041730626
215	0.9700625	0.2034173747
216	0.9700625	0.2025560562
217	0.9705625	0.2006559939
218	0.97075	0.1990395514
219	0.97075	0.1980884664
220	0.970625	0.197539417
221	0.970875	0.1967992553
222	0.9711875	0.1958911146
223	0.9711875	0.1953713154
224	0.971375	0.1949320307
225	0.9714375	0.1940649056
226	0.9714375	0.193347105
227	0.9716875	0.1922285789
228	0.9716875	0.191523311
229	0.9716875	0.1906957934
230	0.972	0.1900413268
231	0.9720625	0.1888144095
232	0.9723125	0.1876725193
233	0.9725625	0.1866775316
234	0.9725625	0.1862014922
235	0.9726875	0.1856747786
236	0.9728125	0.1849719117
237	0.972875	0.1843719065
238	0.973	0.1835662054
239	0.973125	0.182987618
240	0.9730625	0.1819201657
241	0.9733125	0.1809859106
242	0.973375	0.1803062282
243	0.9738125	0.1795219272
244	0.9739375	0.1792190161
245	0.9741875	0.1781114765
246	0.9744375	0.177235759
247	0.9745	0.1769343991
248	0.9745	0.1764430307
249	0.9744375	0.1757374898
250	0.974875	0.1745073719
251	0.9749375	0.1737464328
252	0.97525	0.1730377086
253	0.9751875	0.1724985195
254	0.97525	0.1716755365
255	0.9754375	0.1707032189
256	0.9755	0.1703700698
257	0.975375	0.1696857605
258	0.9754375	0.1690828051
259	0.9755625	0.1680462616
260	0.9758125	0.1672990192
261	0.975875	0.1666708572
262	0.9759375	0.1659664151
263	0.9761875	0.1651994361
264	0.9764375	0.1643291718
265	0.97675	0.1635101664
266	0.9768125	0.163167834
267	0.9769375	0.1626136779
268	0.97725	0.161851606
269	0.977375	0.161480732
270	0.977875	0.1608053862
271	0.9779375	0.1596897915
272	0.97825	0.1591283413
273	0.9781875	0.1586433992
274	0.97825	0.1581102941
275	0.978375	0.1574575776
276	0.9783125	0.1570369559
277	0.9783125	0.1560896185
278	0.978625	0.155380083
279	0.9789375	0.1546412351
280	0.9790625	0.1543597561
281	0.9790625	0.1540251243
282	0.979125	0.1538849793
283	0.97925	0.1533017361
284	0.9794375	0.1527882119
285	0.9798125	0.1518832343
286	0.9798125	0.1514644019
287	0.98	0.1507506322
288	0.9800625	0.1502564634
289	0.980125	0.149729098
290	0.98025	0.1489750067
291	0.980375	0.1485057828
292	0.980625	0.1477434982
293	0.9806875	0.1473410545
294	0.9809375	0.146670081
295	0.980875	0.1460319828
296	0.980875	0.1455968075
297	0.9808125	0.145039026
298	0.9810625	0.1446956458
299	0.981	0.1441450914
300	0.9811875	0.1438013549
301	0.9811875	0.143434139
302	0.981375	0.1428973079
303	0.9814375	0.1424937785
304	0.9813125	0.1421257557
305	0.98125	0.1417943744
306	0.9813125	0.1413081142
307	0.9815625	0.1406355988
308	0.98175	0.1395912414
309	0.982	0.1391286414
310	0.981875	0.1387431143
311	0.9820625	0.1381287006
312	0.9823125	0.1378231282
313	0.98225	0.1373801831
314	0.98225	0.1368512661
315	0.9821875	0.1365985988
316	0.98225	0.1358856689
317	0.9821875	0.1354348004
318	0.982375	0.1347458954
319	0.9824375	0.1343672394
320	0.982625	0.1339975831
321	0.982875	0.1332331616
322	0.9829375	0.1324433677
323	0.983125	0.1323533846
324	0.9831875	0.1319494416
325	0.983375	0.131288986
326	0.9835625	0.1310002449
327	0.98375	0.1302271466
328	0.9841875	0.1292556148
329	0.9841875	0.1288271048
330	0.9841875	0.1287270504
331	0.98425	0.1281312794
332	0.9845	0.1276622161
333	0.9845	0.1273460422
334	0.9848125	0.1269699628
335	0.9846875	0.126636906
336	0.984625	0.1260444093
337	0.9846875	0.1257405015
338	0.984875	0.1250664538
339	0.9849375	0.1247794532
340	0.985	0.1240793595
341	0.985	0.1237614238
342	0.9850625	0.1236647206
343	0.9853125	0.123111952
344	0.9855625	0.1227319469
345	0.9855	0.1224713049
346	0.9856875	0.1221176152
347	0.9856875	0.1217370987
348	0.9856875	0.1214708444
349	0.9859375	0.1209470077
350	0.986	0.1206348754
351	0.9860625	0.1202640736
352	0.9863125	0.1197388948
353	0.9861875	0.1191771095
354	0.9861875	0.1187766648
355	0.986375	0.1184896135
356	0.98625	0.1180783368
357	0.986375	0.1176590592
358	0.9865625	0.1171717819
359	0.98675	0.1167933929
360	0.9865625	0.1164024497
361	0.986875	0.1160166728
362	0.9869375	0.1157851859
363	0.9870625	0.115432296
364	0.9869375	0.114966839
365	0.986875	0.1147983126
366	0.9870625	0.1145082333
367	0.9871875	0.1140910058
368	0.9873125	0.1137800888
369	0.987375	0.113553488
370	0.9874375	0.1134655578
371	0.9873125	0.1130691104
372	0.987625	0.1124763544
373	0.987625	0.112242353
374	0.9875625	0.1119001347
375	0.9875625	0.1117955594
376	0.9876875	0.1113393842
377	0.98775	0.1111435091
378	0.98775	0.1109502563
379	0.9875625	0.110497724
380	0.9880625	0.1100661971
381	0.9880625	0.1099447413
382	0.988	0.1093689569
383	0.9881875	0.1089380725
384	0.9883125	0.1084241463
385	0.988375	0.1081415784
386	0.988375	0.1079542296
387	0.988375	0.107802586
388	0.9883125	0.1075173417
389	0.9884375	0.1073802595
390	0.9885	0.1070585332
391	0.988625	0.1066823287
392	0.9888125	0.1063448963
393	0.9890625	0.1060497869
394	0.9889375	0.1056222227
395	0.989	0.1052000687
396	0.9891875	0.1049936667
397	0.9891875	0.1048529906
398	0.9891875	0.1046342623
399	0.9893125	0.104249749
400	0.989375	0.1040334417
401	0.9894375	0.1037620738
402	0.989375	0.1034912859
403	0.9894375	0.1032809256
404	0.9895625	0.1029521175
405	0.9896875	0.1023699296
406	0.9896875	0.1021817556
407	0.9898125	0.1019913772
408	0.989875	0.1018198474
409	0.989875	0.101640301
410	0.9898125	0.1014585327
411	0.989875	0.1012939523
412	0.99	0.1011497435
413	0.99	0.1009210938
414	0.99	0.1007248226
415	0.9900625	0.1005041714
416	0.9900625	0.1001683103
417	0.9901875	0.0997304678
418	0.9903125	0.09960766146
419	0.990375	0.09935000362
420	0.990375	0.09913005124
421	0.9905	0.09886953691
422	0.9905625	0.09866055226
423	0.9904375	0.09827334723
424	0.9905	0.09792643441
425	0.9905	0.09776171692
426	0.9905625	0.09742471959
427	0.9906875	0.09722248744
428	0.9906875	0.09695880751
429	0.99075	0.09667460987
430	0.9909375	0.0963083468
431	0.9908125	0.09604881329
432	0.9909375	0.09591071398
433	0.9910625	0.09559300817
434	0.9910625	0.09528387061
435	0.9913125	0.09476929256
