iter	Passed	Remaining
0	136	67878
1	260	64987
2	393	65197
3	512	63609
4	635	62895
5	755	62172
6	873	61534
7	1005	61824
8	1119	61069
9	1236	60597
10	1361	60516
11	1478	60132
12	1601	60008
13	1721	59744
14	1868	60420
15	1986	60079
16	2089	59361
17	2228	59671
18	2336	59160
19	2448	58768
20	2563	58470
21	2770	60185
22	2934	60850
23	3054	60579
24	3205	60911
25	3347	61034
26	3528	61813
27	3675	61964
28	3801	61743
29	3912	61288
30	4037	61077
31	4178	61115
32	4352	61592
33	4528	62063
34	4704	62502
35	4865	62711
36	5017	62789
37	5236	63668
38	5380	63603
39	5570	64060
40	5732	64181
41	5883	64160
42	6032	64108
43	6178	64031
44	6448	65205
45	6776	66883
46	6973	67208
47	7139	67232
48	7308	67268
49	7482	67339
50	7648	67334
51	7806	67259
52	7983	67334
53	8135	67195
54	8282	67012
55	8449	66989
56	8655	67272
57	8837	67351
58	9105	68063
59	9392	68878
60	9675	69633
61	9883	69820
62	10340	71724
63	10569	72002
64	10747	71922
65	10923	71827
66	11127	71911
67	11306	71828
68	11455	71556
69	11652	71579
70	11808	71347
71	12014	71421
72	12209	71416
73	12375	71244
74	12579	71281
75	12805	71438
76	12963	71217
77	13121	70990
78	13309	70925
79	13505	70904
80	13927	72045
81	14088	71815
82	14243	71559
83	14393	71279
84	14541	70997
85	14701	70773
86	14888	70679
87	15054	70480
88	15209	70237
89	15370	70020
90	15553	69905
91	15771	69944
92	15994	69997
93	16156	69781
94	16323	69590
95	16501	69444
96	16662	69227
97	16874	69219
98	17049	69059
99	17201	68806
100	17359	68579
101	17553	68491
102	17721	68304
103	17886	68108
104	18033	67840
105	18173	67550
106	18305	67233
107	18472	67047
108	18623	66804
109	18791	66623
110	18958	66440
111	19134	66288
112	19304	66112
113	19496	66015
114	19659	65816
115	19835	65662
116	20015	65521
117	20236	65510
118	20446	65462
119	20662	65431
120	20854	65322
121	21061	65257
122	21269	65190
123	21461	65078
124	21661	64984
125	21836	64816
126	22008	64640
127	22181	64464
128	22388	64388
129	22606	64340
130	22759	64108
131	22947	63973
132	23144	63864
133	23346	63768
134	23563	63707
135	23787	63666
136	24011	63622
137	24215	63522
138	24375	63306
139	24575	63192
140	24775	63082
141	24981	62981
142	25199	62910
143	25423	62853
144	25601	62678
145	25784	62519
146	25974	62374
147	26173	62249
148	26366	62112
149	26595	62057
150	26843	62041
151	27209	62296
152	27387	62113
153	27546	61890
154	27716	61692
155	27919	61565
156	28136	61469
157	28395	61464
158	28696	61544
159	28938	61495
160	29367	61835
161	29629	61820
162	29827	61667
163	30008	61481
164	30328	61575
165	30536	61441
166	30726	61268
167	30949	61161
168	31218	61143
169	31420	60992
170	31624	60844
171	31864	60765
172	32206	60876
173	32489	60871
174	32744	60811
175	32991	60733
176	33212	60607
177	33423	60463
178	33755	60532
179	34025	60489
180	34329	60503
181	34551	60371
182	34785	60257
183	35148	60363
184	35424	60317
185	35695	60260
186	35888	60070
187	36191	60062
188	36456	59989
189	36687	59858
190	36991	59844
191	37294	59825
192	37572	59766
193	37896	59775
194	38248	59824
195	38456	59646
196	38665	59470
197	38852	59259
198	39033	59041
199	39204	58806
200	39375	58574
201	39568	58372
202	39737	58138
203	39916	57918
204	40149	57776
205	40398	57656
206	40615	57490
207	40808	57289
208	41017	57111
209	41226	56932
210	41497	56838
211	42025	57091
212	42280	56969
213	42502	56801
214	42690	56590
215	42887	56389
216	43061	56158
217	43229	55920
218	44037	56504
219	44291	56370
220	44480	56154
221	44645	55907
222	44822	55676
223	45007	55455
224	45177	55216
225	45348	54979
226	45556	54788
227	45735	54561
228	45963	54393
229	46118	54139
230	46342	53966
231	46518	53736
232	46672	53483
233	46844	53250
234	47040	53045
235	47239	52843
236	47452	52657
237	47604	52404
238	47783	52182
239	47936	51931
240	48084	51675
241	48234	51423
242	48377	51165
243	48529	50916
244	48674	50661
245	48817	50404
246	48962	50152
247	49112	49904
248	49282	49678
249	49466	49466
250	49641	49246
251	49795	49005
252	49945	48761
253	50095	48517
254	50269	48297
255	50445	48080
256	50590	47834
257	50738	47592
258	50887	47350
259	51038	47112
260	51180	46866
261	51340	46637
262	51492	46402
263	51643	46165
264	51820	45954
265	51968	45716
266	52118	45481
267	52269	45248
268	52450	45041
269	52639	44841
270	52834	44646
271	53013	44438
272	53178	44217
273	53356	44009
274	53585	43842
275	53797	43661
276	53968	43447
277	54139	43233
278	54333	43038
279	54521	42838
280	54703	42633
281	54960	42486
282	55184	42314
283	55371	42113
284	55588	41935
285	55901	41828
286	56080	41620
287	56310	41450
288	56485	41240
289	56691	41052
290	57035	40963
291	57277	40800
292	57469	40601
293	57652	40395
294	57866	40212
295	58073	40023
296	58244	39810
297	58434	39609
298	58627	39411
299	58774	39183
300	58924	38956
301	59070	38728
302	59229	38508
303	59382	38285
304	59530	38060
305	59788	37904
306	60450	38003
307	60880	37951
308	61144	37795
309	61397	37630
310	61565	37414
311	61740	37202
312	61906	36985
313	62051	36756
314	62195	36527
315	62331	36294
316	62480	36069
317	62666	35865
318	62906	35693
319	63059	35471
320	63199	35242
321	63347	35018
322	63507	34801
323	63686	34595
324	63903	34409
325	64066	34195
326	64213	33972
327	64390	33765
328	64589	33570
329	64804	33383
330	64944	33159
331	65110	32947
